,hour,open,high,low,close
0,2025-01-07 13:00:00+00:00,3637.648357296885,3637.648357296885,3637.648357296885,3637.648357296885
1,2025-01-07 14:00:00+00:00,3626.027067588208,3626.027067588208,3573.116957195232,3573.116957195232
2,2025-01-07 15:00:00+00:00,3558.49789816036,3567.404826588503,3429.931729284581,3465.440808516278
3,2025-01-07 16:00:00+00:00,3461.631109827075,3478.633874897579,3461.284981328942,3469.60162544
4,2025-01-07 17:00:00+00:00,3469.60162544,3469.60162544,3431.9902028805145,3437.829256066657
5,2025-01-07 18:00:00+00:00,3440.9245403044697,3446.089541651784,3421.368037213959,3421.368037213959
6,2025-01-07 19:00:00+00:00,3425.47593771439,3425.8184853081616,3390.3763636054755,3390.3763636054755
7,2025-01-07 20:00:00+00:00,3386.649186284601,3386.9878512032305,3374.142361519468,3384.279479831568
8,2025-01-07 21:00:00+00:00,3387.3265499883505,3401.582525304347,3373.1303212258176,3373.1303212258176
9,2025-01-07 22:00:00+00:00,3369.0851946546386,3387.3265499883505,3369.0851946546386,3387.3265499883505
10,2025-01-07 23:00:00+00:00,3386.649186284601,3386.649186284601,3385.6333946938066,3385.6333946938066
11,2025-01-08 00:00:00+00:00,3389.3594540850777,3405.326137513944,3389.3594540850777,3405.326137513944
12,2025-01-08 01:00:00+00:00,3403.283656759269,3403.283656759269,3387.3265499883505,3387.3265499883505
13,2025-01-08 02:00:00+00:00,3390.715401241836,3392.07189085882,3390.715401241836,3392.07189085882
14,2025-01-08 03:00:00+00:00,3387.665282643349,3387.665282643349,3352.617878424381,3352.617878424381
15,2025-01-08 04:00:00+00:00,3352.617878424381,3364.3720110356903,3352.617878424381,3353.6237643697973
16,2025-01-08 05:00:00+00:00,3347.592972469444,3361.00948868934,3347.592972469444,3354.965415106385
17,2025-01-08 06:00:00+00:00,3352.617878424381,3352.617878424381,3316.937879489017,3316.937879489017
18,2025-01-08 07:00:00+00:00,3316.60621886713,3347.9277317666915,3315.942997108278,3347.9277317666915
19,2025-01-08 08:00:00+00:00,3349.9369906618745,3366.0545335120546,3349.9369906618745,3366.0545335120546
20,2025-01-08 09:00:00+00:00,3366.391138965406,3366.391138965406,3356.307602583773,3356.307602583773
21,2025-01-08 10:00:00+00:00,3357.650327016688,3361.345589638209,3357.650327016688,3361.345589638209
22,2025-01-08 11:00:00+00:00,3360.3373876084443,3360.3373876084443,3333.2299434695788,3343.912828654013
23,2025-01-08 12:00:00+00:00,3346.2542699728133,3348.9322105274005,3346.2542699728133,3348.262524539868
